City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Sabang,ID,2022-04-23 18:10:58,5.8933,95.3214,84.51,69,96,3.11
194,Tecoanapa,MX,2022-04-23 18:10:58,16.5167,-98.75,86.43,53,1,11.27
195,Lodja,CD,2022-04-23 18:10:59,-3.4833,23.4333,72.18,96,100,1.68
196,Coron,PH,2022-04-23 18:11:00,11.9986,120.2043,79.38,77,38,3.91
197,Tutoia,BR,2022-04-23 18:11:00,-2.7619,-42.2744,78.53,83,98,5.1
198,Codrington,AU,2022-04-23 18:11:00,-38.2667,141.9667,48.16,92,1,6.76
199,Bethel,US,2022-04-23 18:11:01,41.3712,-73.414,63.52,39,100,8.05
200,Doume,CM,2022-04-23 18:11:01,4.2333,13.45,75.6,79,68,2.06
201,Portland,US,2022-04-23 18:10:59,45.5234,-122.6762,58.35,75,0,5.99
202,Necochea,AR,2022-04-23 18:08:09,-38.5473,-58.7368,69.76,50,63,19.62
203,Ust-Tsilma,RU,2022-04-23 18:11:02,65.441,52.1498,30.9,94,100,4.14
204,Kruisfontein,ZA,2022-04-23 18:11:03,-34.0033,24.7314,59.88,89,94,1.41
205,Aykhal,RU,2022-04-23 18:11:03,66.0,111.5,2.21,100,81,3.87
206,Mirnyy,RU,2022-04-23 18:11:04,62.5353,113.9611,16.95,98,100,1.41
207,Los Llanos De Aridane,ES,2022-04-23 18:11:04,28.6585,-17.9182,62.35,79,75,8.01
208,Chuy,UY,2022-04-23 18:11:05,-33.6971,-53.4616,68.14,35,0,9.95
209,Mariental,NA,2022-04-23 18:11:05,-24.6333,17.9667,74.7,24,13,16.04
210,Alofi,NU,2022-04-23 18:11:06,-19.0595,-169.9187,78.67,77,28,6.04
211,Corralillo,CU,2022-04-23 18:11:06,22.9819,-80.5856,82.17,60,33,20.58
212,Poum,NC,2022-04-23 18:11:07,-20.2333,164.0167,76.1,74,77,9.62
213,Mount Gambier,AU,2022-04-23 18:07:55,-37.8333,140.7667,49.68,92,0,6.62
214,Inongo,CD,2022-04-23 18:11:07,-1.95,18.2667,74.16,92,100,6.55
215,Kourou,GF,2022-04-23 18:11:08,5.1552,-52.6478,84.25,88,98,5.28
216,Terney,RU,2022-04-23 18:11:08,45.0503,136.6092,41.23,78,93,13.13
217,Kjollefjord,NO,2022-04-23 18:11:09,70.9457,27.3465,41.05,96,100,16.55
218,Fukue,JP,2022-04-23 18:08:15,32.6881,128.8419,62.53,92,100,12.66
219,Doha,QA,2022-04-23 18:07:14,25.2867,51.5333,82.38,44,0,6.91
220,Dunedin,NZ,2022-04-23 18:11:10,-45.8742,170.5036,53.8,79,100,13.0
221,Storforshei,NO,2022-04-23 18:11:10,66.4043,14.5233,46.18,49,23,4.61
222,Nizwa,OM,2022-04-23 18:11:11,22.9333,57.5333,84.56,23,55,4.59
223,Sao Filipe,CV,2022-04-23 18:11:11,14.8961,-24.4956,75.18,73,4,7.31
224,Umm Lajj,SA,2022-04-23 18:11:12,25.0213,37.2685,79.14,66,3,1.66
225,Asau,RO,2022-04-23 18:11:12,46.4333,26.4,53.96,98,69,4.03
226,Ayan,RU,2022-04-23 18:11:13,56.45,138.1667,20.61,91,44,3.94
227,Raudeberg,NO,2022-04-23 18:11:13,61.9875,5.1352,52.47,77,51,11.74
228,Jiwani,PK,2022-04-23 18:12:14,25.05,61.7417,81.68,81,88,6.2
229,Hirado,JP,2022-04-23 18:12:14,33.3597,129.5531,60.39,91,100,10.07
230,Varhaug,NO,2022-04-23 18:12:15,58.6147,5.6457,54.79,74,97,9.55
231,Csanadpalota,HU,2022-04-23 18:12:15,46.25,20.7333,51.98,90,68,4.03
232,Katsuura,JP,2022-04-23 18:09:16,35.1333,140.3,65.71,81,100,9.35
233,Maceio,BR,2022-04-23 18:12:16,-9.6658,-35.7353,85.44,61,75,10.36
234,Luderitz,NA,2022-04-23 18:12:16,-26.6481,15.1594,58.82,75,0,26.28
235,Howard Springs,AU,2022-04-23 18:12:17,-12.497,131.047,80.51,76,100,2.84
236,Bloemfontein,ZA,2022-04-23 18:10:07,-29.1211,26.214,57.97,80,41,3.11
237,Achalpur,IN,2022-04-23 18:12:18,21.2572,77.5086,92.16,20,58,1.92
238,Tabou,CI,2022-04-23 18:12:18,4.423,-7.3528,82.45,76,80,7.34
239,Banmankhi,IN,2022-04-23 18:12:18,25.8833,87.1833,85.12,19,0,3.53
240,Ribeira Grande,PT,2022-04-23 18:12:19,38.5167,-28.7,61.2,59,40,18.41
241,Taltal,CL,2022-04-23 18:12:19,-25.4,-70.4833,65.39,75,26,5.68
242,San Vicente,AR,2022-04-23 18:12:20,-26.6167,-54.1333,72.25,53,72,4.36
243,Mount Isa,AU,2022-04-23 18:12:20,-20.7333,139.5,67.77,100,100,5.75
244,Laguna,US,2022-04-23 18:12:21,38.421,-121.4238,69.15,52,0,6.91
245,Clyde River,CA,2022-04-23 18:12:21,70.4692,-68.5914,6.48,76,9,2.62
246,Shache,CN,2022-04-23 18:08:08,38.4167,77.2406,68.29,27,21,8.14
247,Padang,ID,2022-04-23 18:12:22,-0.9492,100.3543,77.05,85,100,3.24
248,Boyolangu,ID,2022-04-23 18:12:23,-8.1181,111.8935,76.84,93,97,1.32
249,Namibe,AO,2022-04-23 18:12:23,-15.1961,12.1522,71.65,79,71,12.28
250,Evensk,RU,2022-04-23 18:12:23,61.95,159.2333,16.2,77,45,12.77
251,Craig,US,2022-04-23 18:12:24,40.5153,-107.5464,35.55,96,100,12.66
252,Male,MV,2022-04-23 18:10:02,4.1748,73.5089,85.95,74,20,10.36
253,Rio Grande,BR,2022-04-23 18:12:24,-32.035,-52.0986,71.71,43,0,12.08
254,Antalaha,MG,2022-04-23 18:12:25,-14.9003,50.2788,74.59,91,79,5.95
255,Tayoltita,MX,2022-04-23 18:12:25,24.0833,-105.9333,87.33,22,1,8.03
256,Dolores,AR,2022-04-23 18:12:26,-36.3132,-57.6792,74.91,28,9,17.45
